airline,negative_count,neutral_count,positive_count,negative_pct,neutral_pct,positive_pct,avg_sentiment,total_mentions,rank
Virgin America,180,190,133,35.785288270377734,37.77335984095427,26.44135188866799,-0.009036430390596067,503,1.0
Delta,859,853,505,38.74605322507894,38.47541723049165,22.77852954442941,-0.05106374502337736,2217,2.0
Southwest,1101,774,537,45.646766169154226,32.08955223880597,22.263681592039802,-0.09393658460205913,2412,3.0
United,2350,887,581,61.55055002619172,23.23205866946045,15.217391304347828,-0.2475611826743602,3818,4.0
American,1781,581,391,64.69306211405738,21.104249909189974,14.202687976752634,-0.27880315617628615,2753,5.0
US Airways,2004,552,351,68.93704850361198,18.988648090815275,12.074303405572756,-0.3281579547614972,2907,6.0
